stateabrev,cycle,districts,eg
AK,1972,1,0.375
AL,1972,7,-0.074
AR,1972,4,0.217
AZ,1972,4,-0.198
CA,1972,43,-0.006
CO,1972,5,-0.049
CT,1972,6,0.035
DE,1972,1,-0.242
FL,1972,15,0.108
GA,1972,10,0.140
HI,1972,2,0.382
IA,1972,6,-0.026
ID,1972,2,-0.231
IL,1972,24,-0.049
IN,1972,11,0.087
KS,1972,5,0.056
KY,1972,7,0.048
LA,1972,8,0.128
MA,1972,12,0.094
MD,1972,8,-0.017
ME,1972,2,-0.030
MI,1972,19,0.000
MN,1972,8,-0.062
MO,1972,10,0.097
MS,1972,5,-0.015
MT,1972,2,-0.232
NC,1972,11,0.103
ND,1972,1,-0.043
NE,1972,3,-0.181
NH,1972,2,-0.095
NJ,1972,15,0.061
NM,1972,2,-0.196
NV,1972,1,-0.457
NY,1972,39,0.053
OH,1972,23,-0.049
OK,1972,6,0.167
OR,1972,4,0.015
PA,1972,25,0.023
RI,1972,2,0.246
SC,1972,6,0.035
SD,1972,2,-0.044
TN,1972,8,-0.004
TX,1972,24,0.131
UT,1972,2,0.378
VA,1972,10,-0.073
VT,1972,1,-0.200
WA,1972,7,0.153
WI,1972,9,0.053
WV,1972,4,0.061
WY,1972,1,0.466
AK,1974,1,-0.423
AL,1974,7,-0.074
AR,1974,4,-0.124
AZ,1974,4,-0.252
CA,1974,43,0.048
CO,1974,5,0.049
CT,1974,6,0.010
DE,1974,1,-0.307
FL,1974,15,0.108
GA,1974,10,0.140
HI,1974,2,0.278
IA,1974,6,0.248
ID,1974,2,-0.360
IL,1974,24,-0.049
IN,1974,11,0.087
KS,1974,5,-0.170
KY,1974,7,0.048
LA,1974,8,-0.104
MA,1974,12,0.094
MD,1974,8,-0.017
ME,1974,2,-0.298
MI,1974,19,0.000
MN,1974,8,-0.062
MO,1974,10,0.097
MS,1974,5,0.028
MT,1974,2,0.328
NC,1974,11,0.103
ND,1974,1,-0.386
NE,1974,3,-0.445
NH,1974,2,0.128
NJ,1974,15,0.061
NM,1974,2,-0.113
NV,1974,1,0.290
NY,1974,39,0.054
OH,1974,23,-0.049
OK,1974,6,0.251
OR,1974,4,0.218
