state,year,code,plan,eg_adj_avg,eg_avg_percentrank,bias_avg,bias_avg_percentrank,mmd_avg,mmd_avg_percentrank,dec2_avg,dec2_avg_percentrank,wasted_dem_plan,wasted_rep_plan,votes_dem_plan,votes_twop_plan,seats_plan,seats_dem_plan,seats_r_plan
AL,1974,AL1974,AL1,0.133,0.986,0.015,0.711,0.001,0.650,1.356,1.000,542248,937070,1983851,2958635,420,412,8
AL,1976,AL1976,AL1,0.133,0.986,0.015,0.711,0.001,0.650,1.356,1.000,542248,937070,1983851,2958635,420,412,8
AL,1978,AL1978,AL1,0.133,0.986,0.015,0.711,0.001,0.650,1.356,1.000,542248,937070,1983851,2958635,420,412,8
AL,1980,AL1980,AL1,0.133,0.986,0.015,0.711,0.001,0.650,1.356,1.000,542248,937070,1983851,2958635,420,412,8
AL,1986,AL1986,AL2,0.383,1.000,0.050,0.839,0.049,0.954,1.100,0.999,338976,2106057,2330513,4890066,420,352,68
AL,1988,AL1988,AL2,0.383,1.000,0.050,0.839,0.049,0.954,1.100,0.999,338976,2106057,2330513,4890066,420,352,68
AL,1990,AL1990,AL2,0.383,1.000,0.050,0.839,0.049,0.954,1.100,0.999,338976,2106057,2330513,4890066,420,352,68
AL,1992,AL1992,AL2,0.383,1.000,0.050,0.839,0.049,0.954,1.100,0.999,338976,2106057,2330513,4890066,420,352,68
AL,1994,AL1994,AL3,0.093,0.939,0.011,0.691,0.004,0.670,0.370,0.876,1082604,1456722,2764384,5078651,420,286,134
AL,1996,AL1996,AL3,0.093,0.939,0.011,0.691,0.004,0.670,0.370,0.876,1082604,1456722,2764384,5078651,420,286,134
AL,1998,AL1998,AL3,0.093,0.939,0.011,0.691,0.004,0.670,0.370,0.876,1082604,1456722,2764384,5078651,420,286,134
AL,2000,AL2000,AL3,0.093,0.939,0.011,0.691,0.004,0.670,0.370,0.876,1082604,1456722,2764384,5078651,420,286,134
AL,2002,AL2002,AL4,0.014,0.702,-0.012,0.697,0.003,0.661,-0.020,0.650,1691506,1655862,3501970,6694736,525,295,230
AL,2004,AL2004,AL4,0.014,0.702,-0.012,0.697,0.003,0.661,-0.020,0.650,1691506,1655862,3501970,6694736,525,295,230
AL,2006,AL2006,AL4,0.014,0.702,-0.012,0.697,0.003,0.661,-0.020,0.650,1691506,1655862,3501970,6694736,525,295,230
AL,2008,AL2008,AL4,0.014,0.702,-0.012,0.697,0.003,0.661,-0.020,0.650,1691506,1655862,3501970,6694736,525,295,230
AL,2010,AL2010,AL4,0.014,0.702,-0.012,0.697,0.003,0.661,-0.020,0.650,1691506,1655862,3501970,6694736,525,295,230
AL,2012,AL2012,AL5,-0.073,0.900,-0.112,0.967,-0.031,0.853,-0.260,0.821,416016,296365,699722,1424763,105,43,62
AL,2014,AL2014,AL5.1,-0.110,0.965,-0.140,0.994,-0.067,0.987,-0.794,0.981,790935,452674,1149347,2487217,210,66,144
AL,2016,AL2016,AL5.1,-0.110,0.965,-0.140,0.994,-0.067,0.987,-0.794,0.981,790935,452674,1149347,2487217,210,66,144
AL,2018,AL2018,AL5.2,-0.090,0.933,-0.146,0.997,-0.088,1.000,-0.911,0.987,1042280,669329,1466773,3423219,210,56,154
AL,2020,AL2020,AL5.2,-0.090,0.933,-0.146,0.997,-0.088,1.000,-0.911,0.987,1042280,669329,1466773,3423219,210,56,154
AL,2022,AL2022,AL6,0.078,0.911,-0.140,0.994,-0.084,0.996,-0.332,0.868,306793,416789,498192,1447165,105,28,77
AR,1992,AR1992,AR3,0.153,0.993,0.035,0.777,0.011,0.730,0.779,0.979,856701,1479779,2729228,4672959,499,410,89
AR,1994,AR1994,AR3,0.153,0.993,0.035,0.777,0.011,0.730,0.779,0.979,856701,1479779,2729228,4672959,499,410,89
AR,1996,AR1996,AR3,0.153,0.993,0.035,0.777,0.011,0.730,0.779,0.979,856701,1479779,2729228,4672959,499,410,89
AR,1998,AR1998,AR3,0.153,0.993,0.035,0.777,0.011,0.730,0.779,0.979,856701,1479779,2729228,4672959,499,410,89
AR,2000,AR2000,AR3,0.153,0.993,0.035,0.777,0.011,0.730,0.779,0.979,856701,1479779,2729228,4672959,499,410,89
AR,2002,AR2002,AR4,0.110,0.971,0.027,0.751,0.013,0.744,0.399,0.896,931506,1338392,2449750,4539796,500,344,156
AR,2004,AR2004,AR4,0.110,0.971,0.027,0.751,0.013,0.744,0.399,0.896,931506,1338392,2449750,4539796,500,344,156
AR,2006,AR2006,AR4,0.110,0.971,0.027,0.751,0.013,0.744,0.399,0.896,931506,1338392,2449750,4539796,500,344,156
AR,2008,AR2008,AR4,0.110,0.971,0.027,0.751,0.013,0.744,0.399,0.896,931506,1338392,2449750,4539796,500,344,156
AR,2010,AR2010,AR4,0.110,0.971,0.027,0.751,0.013,0.744,0.399,0.896,931506,1338392,2449750,4539796,500,344,156
AR,2012,AR2012,AR5,-0.025,0.754,-0.077,0.911,-0.035,0.886,-0.387,0.889,1405889,1196921,2182640,5205619,500,158,342
AR,2014,AR2014,AR5,-0.025,0.754,-0.077,0.911,-0.035,0.886,-0.387,0.889,1405889,1196921,2182640,5205619,500,158,342
AR,2016,AR2016,AR5,-0.025,0.754,-0.077,0.911,-0.035,0.886,-0.387,0.889,1405889,1196921,2182640,5205619,500,158,342
AR,2018,AR2018,AR5,-0.025,0.754,-0.077,0.911,-0.035,0.886,-0.387,0.889,1405889,1196921,2182640,5205619,500,158,342
AR,2020,AR2020,AR5,-0.025,0.754,-0.077,0.911,-0.035,0.886,-0.387,0.889,1405889,1196921,2182640,5205619,500,158,342
AR,2022,AR2022,AR6,-0.026,0.758,-0.120,0.976,-0.048,0.946,-0.871,0.983,224618,204158,302909,857551,100,18,82
AZ,1974,AZ1974,AZ1,-0.019,0.722,-0.047,0.823,-0.013,0.745,-0.140,0.755,290757,227291,501996,1036094,60,27,33
AZ,1976,AZ1976,AZ2,-0.028,0.764,-0.059,0.862,-0.029,0.837,-0.294,0.843,1976521,1421297,2913975,6795637,300,100,200
AZ,1978,AZ1978,AZ2,-0.028,0.764,-0.059,0.862,-0.029,0.837,-0.294,0.843,1976521,1421297,2913975,6795637,300,100,200
AZ,1980,AZ1980,AZ2,-0.028,0.764,-0.059,0.862,-0.029,0.837,-0.294,0.843,1976521,1421297,2913975,6795637,300,100,200
AZ,1982,AZ1982,AZ2,-0.028,0.764,-0.059,0.862,-0.029,0.837,-0.294,0.843,1976521,1421297,2913975,6795637,300,100,200
AZ,1984,AZ1984,AZ2,-0.028,0.764,-0.059,0.862,-0.029,0.837,-0.294,0.843,1976521,1421297,2913975,6795637,300,100,200
AZ,1986,AZ1986,AZ3,-0.010,0.682,-0.045,0.821,-0.025,0.815,-0.171,0.771,2708087,1959291,4316488,9334756,300,124,176
AZ,1988,AZ1988,AZ3,-0.010,0.682,-0.045,0.821,-0.025,0.815,-0.171,0.771,2708087,1959291,4316488,9334756,300,124,176
AZ,1990,AZ1990,AZ3,-0.010,0.682,-0.045,0.821,-0.025,0.815,-0.171,0.771,2708087,1959291,4316488,9334756,300,124,176
AZ,1992,AZ1992,AZ3,-0.010,0.682,-0.045,0.821,-0.025,0.815,-0.171,0.771,2708087,1959291,4316488,9334756,300,124,176
AZ,1994,AZ1994,AZ3,-0.010,0.682,-0.045,0.821,-0.025,0.815,-0.171,0.771,2708087,1959291,4316488,9334756,300,124,176
AZ,1996,AZ1996,AZ4,-0.057,0.854,-0.073,0.900,-0.033,0.873,-0.329,0.865,3867012,2251904,5623005,12237833,300,109,191
AZ,1998,AZ1998,AZ4,-0.057,0.854,-0.073,0.900,-0.033,0.873,-0.329,0.865,3867012,2251904,5623005,12237833,300,109,191
AZ,2000,AZ2000,AZ4,-0.057,0.854,-0.073,0.900,-0.033,0.873,-0.329,0.865,3867012,2251904,5623005,12237833,300,109,191
AZ,2002,AZ2002,AZ4,-0.057,0.854,-0.073,0.900,-0.033,0.873,-0.329,0.865,3867012,2251904,5623005,12237833,300,109,191
AZ,2004,AZ2004,AZ4,-0.057,0.854,-0.073,0.900,-0.033,0.873,-0.329,0.865,3867012,2251904,5623005,12237833,300,109,191
AZ,2006,AZ2006,AZ5,-0.038,0.797,-0.063,0.876,-0.028,0.834,-0.269,0.825,9271237,6257692,15023759,31057859,480,203,277
AZ,2008,AZ2008,AZ5,-0.038,0.797,-0.063,0.876,-0.028,0.834,-0.269,0.825,9271237,6257692,15023759,31057859,480,203,277
AZ,2010,AZ2010,AZ5,-0.038,0.797,-0.063,0.876,-0.028,0.834,-0.269,0.825,9271237,6257692,15023759,31057859,480,203,277
