state,year,code,plan,eg_adj_avg,eg_avg_percentrank,bias_avg,bias_avg_percentrank,mmd_avg,mmd_avg_percentrank,dec2_avg,dec2_avg_percentrank,wasted_dem_plan,wasted_rep_plan,votes_dem_plan,votes_twop_plan,seats_plan,seats_dem_plan,seats_r_plan
AL,1974,AL1974,AL1,0.059,0.565,0.016,0.174,0.008,0.198,,0.000,268801,345380,882982,1228362,70,70,0
AL,1978,AL1978,AL1,0.059,0.565,0.016,0.174,0.008,0.198,,0.000,268801,345380,882982,1228362,70,70,0
AL,1986,AL1986,AL2,0.161,0.980,0.135,0.957,0.029,0.668,0.694,0.917,432215,791819,1425716,2448068,70,58,12
AL,1990,AL1990,AL2,0.161,0.980,0.135,0.957,0.029,0.668,0.694,0.917,432215,791819,1425716,2448068,70,58,12
AL,1994,AL1994,AL3,0.096,0.806,0.032,0.344,0.026,0.601,0.353,0.688,518867,714565,1328918,2466863,70,47,23
AL,1998,AL1998,AL3,0.096,0.806,0.032,0.344,0.026,0.601,0.353,0.688,518867,714565,1328918,2466863,70,47,23
AL,2002,AL2002,AL4,0.036,0.360,0.048,0.490,0.019,0.439,0.123,0.312,955764,1028316,2054965,3968161,105,60,45
AL,2006,AL2006,AL4,0.036,0.360,0.048,0.490,0.019,0.439,0.123,0.312,955764,1028316,2054965,3968161,105,60,45
AL,2010,AL2010,AL4,0.036,0.360,0.048,0.490,0.019,0.439,0.123,0.312,955764,1028316,2054965,3968161,105,60,45
AL,2014,AL2014,AL5,-0.079,0.708,-0.160,0.992,-0.067,0.937,-0.721,0.933,330008,238184,458731,1136384,35,8,27
AL,2018,AL2018,AL5.1,-0.081,0.719,-0.134,0.949,-0.083,0.968,-0.738,0.941,508294,358547,701512,1733683,35,8,27
AL,2022,AL2022,AL6,0.059,0.561,-0.160,0.992,-0.082,0.964,-0.345,0.680,310515,395190,472613,1411410,35,8,27
AR,1974,AR1974,AR1,0.010,0.111,0.114,0.893,0.028,0.640,1.017,0.996,593011,629025,1787346,2444073,136,133,3
AR,1976,AR1976,AR1,0.010,0.111,0.114,0.893,0.028,0.640,1.017,0.996,593011,629025,1787346,2444073,136,133,3
AR,1978,AR1978,AR1,0.010,0.111,0.114,0.893,0.028,0.640,1.017,0.996,593011,629025,1787346,2444073,136,133,3
AR,1980,AR1980,AR1,0.010,0.111,0.114,0.893,0.028,0.640,1.017,0.996,593011,629025,1787346,2444073,136,133,3
AR,1982,AR1982,AR2,0.109,0.877,0.061,0.613,0.014,0.372,0.855,0.972,391147,637616,1312902,2057526,105,94,11
AR,1984,AR1984,AR2,0.109,0.877,0.061,0.613,0.014,0.372,0.855,0.972,391147,637616,1312902,2057526,105,94,11
AR,1988,AR1988,AR2,0.109,0.877,0.061,0.613,0.014,0.372,0.855,0.972,391147,637616,1312902,2057526,105,94,11
AR,1990,AR1990,AR2.1,0.139,0.937,0.082,0.719,0.006,0.146,0.546,0.850,128359,220330,434857,697377,35,31,4
AR,1992,AR1992,AR3,0.198,1.000,0.006,0.091,0.005,0.123,0.570,0.862,618145,1452631,2357836,4141554,175,146,29
AR,1994,AR1994,AR3,0.198,1.000,0.006,0.091,0.005,0.123,0.570,0.862,618145,1452631,2357836,4141554,175,146,29
AR,1996,AR1996,AR3,0.198,1.000,0.006,0.091,0.005,0.123,0.570,0.862,618145,1452631,2357836,4141554,175,146,29
AR,1998,AR1998,AR3,0.198,1.000,0.006,0.091,0.005,0.123,0.570,0.862,618145,1452631,2357836,4141554,175,146,29
AR,2000,AR2000,AR3,0.198,1.000,0.006,0.091,0.005,0.123,0.570,0.862,618145,1452631,2357836,4141554,175,146,29
AR,2002,AR2002,AR4,0.153,0.968,0.001,0.008,0.002,0.047,0.419,0.755,826725,1545092,2536774,4743634,175,128,47
AR,2004,AR2004,AR4,0.153,0.968,0.001,0.008,0.002,0.047,0.419,0.755,826725,1545092,2536774,4743634,175,128,47
AR,2006,AR2006,AR4,0.153,0.968,0.001,0.008,0.002,0.047,0.419,0.755,826725,1545092,2536774,4743634,175,128,47
AR,2008,AR2008,AR4,0.153,0.968,0.001,0.008,0.002,0.047,0.419,0.755,826725,1545092,2536774,4743634,175,128,47
AR,2010,AR2010,AR4,0.153,0.968,0.001,0.008,0.002,0.047,0.419,0.755,826725,1545092,2536774,4743634,175,128,47
AR,2012,AR2012,AR5,-0.068,0.640,-0.128,0.937,-0.040,0.771,-0.263,0.557,1442296,1111823,2186038,5108238,175,51,124
AR,2014,AR2014,AR5,-0.068,0.640,-0.128,0.937,-0.040,0.771,-0.263,0.557,1442296,1111823,2186038,5108238,175,51,124
AR,2016,AR2016,AR5,-0.068,0.640,-0.128,0.937,-0.040,0.771,-0.263,0.557,1442296,1111823,2186038,5108238,175,51,124
AR,2018,AR2018,AR5,-0.068,0.640,-0.128,0.937,-0.040,0.771,-0.263,0.557,1442296,1111823,2186038,5108238,175,51,124
AR,2020,AR2020,AR5,-0.068,0.640,-0.128,0.937,-0.040,0.771,-0.263,0.557,1442296,1111823,2186038,5108238,175,51,124
AR,2022,AR2022,AR6,-0.024,0.261,-0.134,0.949,-0.044,0.810,-0.680,0.909,236065,217962,315734,908053,35,6,29
AZ,1974,AZ1974,AZ1,0.017,0.190,-0.052,0.545,-0.023,0.542,-0.017,0.055,145988,156789,328022,605555,30,18,12
AZ,1976,AZ1976,AZ1.1,0.063,0.597,-0.002,0.020,-0.003,0.083,0.036,0.130,486704,500757,911015,1974921,90,44,46
AZ,1978,AZ1978,AZ1.1,0.063,0.597,-0.002,0.020,-0.003,0.083,0.036,0.130,486704,500757,911015,1974921,90,44,46
