cycle,stateabrev,newplan,EG,seats,url
1972,AK,yes,-0.625,1,
1972,AL,yes,-0.030,7,
1972,AR,yes,0.235,4,
1972,AZ,yes,-0.207,4,
1972,CA,yes,-0.006,43,
1972,CO,yes,-0.043,5,
1972,CT,yes,0.025,6,
1972,DE,yes,-0.242,1,
1972,FL,yes,0.194,15,
1972,GA,yes,0.338,10,
1972,HI,yes,0.382,2,
1972,IA,yes,-0.033,6,
1972,ID,yes,-0.231,2,
1972,IL,yes,-0.065,24,
1972,IN,yes,-0.060,11,
1972,KS,yes,0.056,5,
1972,KY,yes,0.208,7,
1972,LA,yes,0.129,8,
1972,MA,yes,0.101,12,
1972,MD,yes,-0.040,8,
1972,ME,yes,-0.057,2,
1972,MI,yes,-0.025,19,
1972,MN,yes,-0.082,8,
1972,MO,yes,0.206,10,
1972,MS,yes,0.024,5,
1972,MT,yes,-0.210,2,
1972,NC,yes,0.114,11,
1972,ND,yes,-0.043,1,
1972,NE,yes,-0.181,3,
1972,NH,yes,-0.095,2,
1972,NJ,yes,0.042,15,
1972,NM,yes,-0.126,2,
1972,NV,yes,-0.457,1,
1972,NY,yes,0.053,39,
1972,OH,yes,-0.132,23,
1972,OK,yes,0.194,6,
1972,OR,yes,0.048,4,
1972,PA,yes,0.084,25,
1972,RI,yes,0.246,2,
1972,SC,yes,0.023,6,
1972,SD,yes,-0.062,2,
1972,TN,yes,-0.101,8,
1972,TX,yes,0.131,24,
1972,UT,yes,0.378,2,
1972,VA,yes,-0.113,10,
1972,VT,yes,-0.200,1,
1972,WA,yes,0.038,7,
1972,WI,yes,-0.082,9,
1972,WV,yes,0.318,4,
1972,WY,yes,0.466,1,
1974,AK,,-0.423,1,
1974,AL,,-0.047,7,
1974,AR,,-0.038,4,
1974,AZ,,-0.256,4,
1974,CA,yes,0.019,43,
1974,CO,,0.037,5,
1974,CT,,-0.003,6,
1974,DE,,-0.307,1,
1974,FL,,0.072,15,
1974,GA,,0.165,10,
1974,HI,,0.278,2,
1974,IA,,0.250,6,
1974,ID,,-0.360,2,
1974,IL,,-0.084,24,
1974,IN,,0.210,11,
1974,KS,,-0.175,5,
1974,KY,,-0.077,7,
1974,LA,,-0.011,8,
1974,MA,,0.077,12,
1974,MD,,-0.083,8,
1974,ME,,-0.298,2,
1974,MI,,-0.048,19,
1974,MN,,-0.053,8,
1974,MO,,0.058,10,
1974,MS,,0.077,5,
1974,MT,,0.328,2,
1974,NC,,0.091,11,
1974,ND,,-0.386,1,
1974,NE,,-0.445,3,
1974,NH,,0.118,2,
1974,NJ,,0.035,15,
1974,NM,,-0.041,2,
1974,NV,,0.290,1,
1974,NY,yes,0.046,39,
1974,OH,,-0.149,23,
1974,OK,,0.084,6,
1974,OR,,0.218,4,
1974,PA,,-0.082,25,
1974,RI,,-0.014,2,
1974,SC,,0.161,6,
1974,SD,,-0.274,2,
1974,TN,,0.094,8,
1974,TX,yes,0.050,24,
1974,UT,,0.329,2,
1974,VA,,-0.048,10,
1974,VT,,-0.337,1,
1974,WA,,0.179,7,
1974,WI,,0.084,9,
1974,WV,,0.176,4,
1974,WY,,0.406,1,
1976,AK,,-0.080,1,
1976,AL,,-0.126,7,
1976,AR,,-0.033,4,
1976,AZ,,-0.022,4,
1976,CA,,0.052,43,
1976,CO,,0.181,5,
1976,CT,,0.144,6,
1976,DE,,-0.461,1,
1976,FL,,0.037,15,
1976,GA,,0.150,10,
1976,HI,,0.093,2,
1976,IA,,0.019,6,
1976,ID,,-0.447,2,
1976,IL,,-0.031,24,
1976,IN,,0.146,11,
1976,KS,,0.120,5,
1976,KY,,0.038,7,
1976,LA,,0.006,8,
1976,MA,,0.079,12,
1976,MD,,-0.105,8,
1976,ME,,-0.149,2,
1976,MI,,-0.037,19,
1976,MN,,-0.111,8,
1976,MO,,0.158,10,
1976,MS,,-0.005,5,
1976,MT,,-0.125,2,
1976,NC,,0.098,11,
1976,ND,,-0.231,1,
1976,NE,,0.126,3,
1976,NH,,-0.076,2,
1976,NJ,,0.117,15,
1976,NM,,0.073,2,
1976,NV,,-0.229,1,
1976,NY,,0.034,39,
1976,OH,,-0.024,23,
1976,OK,,0.039,6,
1976,OR,,0.208,4,
1976,PA,,0.066,25,
1976,RI,,0.090,2,
1976,SC,,0.130,6,
1976,SD,,0.006,2,
1976,TN,yes,0.021,8,
1976,TX,,0.188,24,
1976,UT,,-0.029,2,
1976,VA,,-0.090,10,
1976,VT,,-0.129,1,
1976,WA,,0.049,7,
1976,WI,,0.109,9,
1976,WV,,0.152,4,
1976,WY,,0.371,1,
1978,AK,,-0.390,1,
1978,AL,,-0.115,7,
1978,AR,,0.018,4,
1978,AZ,,0.113,4,
1978,CA,,0.043,43,
1978,CO,,0.143,5,
1978,CT,,0.167,6,
1978,DE,,-0.329,1,
1978,FL,,0.128,15,
1978,GA,,-0.005,10,
1978,HI,,-0.169,2,
1978,IA,,0.004,6,
1978,ID,,-0.327,2,
1978,IL,,-0.065,24,
1978,IN,,0.087,11,
1978,KS,,-0.192,5,
1978,KY,,0.042,7,
1978,LA,,0.252,8,
1978,MA,,0.078,12,
1978,MD,,0.004,8,
1978,ME,,-0.306,2,
1978,MI,,0.042,19,
1978,MN,,0.016,8,
1978,MO,,0.046,10,
1978,MS,,-0.058,5,
1978,MT,,-0.013,2,
1978,NC,,0.152,11,
1978,ND,,-0.130,1,
1978,NE,,0.090,3,
1978,NH,,0.044,2,
1978,NJ,,0.057,15,
1978,NM,,0.027,2,
1978,NV,,0.002,1,
1978,NY,,0.059,39,
1978,OH,,0.001,23,
1978,OK,,0.143,6,
1978,OR,,0.203,4,
1978,PA,,0.073,25,
1978,RI,,0.368,2,
1978,SC,,0.005,6,
1978,SD,,0.059,2,
1978,TN,,0.117,8,
1978,TX,,0.179,24,
1978,UT,,0.118,2,
1978,VA,,0.031,10,
1978,VT,,0.092,1,
1978,WA,,0.298,7,
1978,WI,,0.105,9,
1978,WV,,0.262,4,
1978,WY,,-0.327,1,
1980,AK,,-0.018,1,
1980,AL,,-0.053,7,
1980,AR,,0.163,4,
1980,AZ,,0.048,4,
1980,CA,,0.077,43,
1980,CO,,0.201,5,
1980,CT,,0.125,6,
1980,DE,,-0.255,1,
1980,FL,,0.109,15,
1980,GA,,0.053,10,
1980,HI,,-0.241,2,
1980,IA,,-0.027,6,
1980,ID,,-0.377,2,
1980,IL,,-0.001,24,
1980,IN,,0.051,11,
1980,KS,,-0.170,5,
1980,KY,,0.030,7,
1980,LA,,0.331,8,
