district,year,plan,winner,winner_plan,dem_share
1,1974,AL1,D,D,0.708
2,1974,AL1,D,D,0.784
3,1974,AL1,D,D,0.705
4,1974,AL1,D,D,0.792
5,1974,AL1,D,D,0.697
6,1974,AL1,D,D,0.718
7,1974,AL1,D,D,0.794
8,1974,AL1,D,D,0.690
9,1974,AL1,D,D,0.692
10,1974,AL1,D,D,0.550
11,1974,AL1,D,D,0.598
12,1974,AL1,D,D,0.750
13,1974,AL1,D,D,0.771
14,1974,AL1,D,D,0.632
15,1974,AL1,D,D,0.830
16,1974,AL1,D,D,0.793
17,1974,AL1,D,D,0.747
18,1974,AL1,D,D,0.549
19,1974,AL1,D,D,0.512
20,1974,AL1,D,D,0.698
21,1974,AL1,D,D,0.658
22,1974,AL1,D,D,0.786
23,1974,AL1,D,D,0.740
24,1974,AL1,D,D,0.681
25,1974,AL1,D,D,0.656
26,1974,AL1,D,D,0.655
27,1974,AL1,D,D,0.654
28,1974,AL1,D,D,0.733
29,1974,AL1,D,D,0.746
30,1974,AL1,D,D,0.729
31,1974,AL1,D,X,0.572
32,1974,AL1,D,X,0.649
33,1974,AL1,D,D,0.766
34,1974,AL1,D,D,0.707
35,1974,AL1,D,D,0.865
36,1974,AL1,D,D,0.705
37,1974,AL1,D,D,0.656
38,1974,AL1,D,D,0.691
39,1974,AL1,D,D,0.698
40,1974,AL1,D,D,0.777
41,1974,AL1,D,D,0.691
42,1974,AL1,D,D,0.774
43,1974,AL1,D,D,0.901
44,1974,AL1,D,D,0.686
45,1974,AL1,D,D,0.694
46,1974,AL1,D,D,0.678
47,1974,AL1,D,D,0.622
48,1974,AL1,D,D,0.805
49,1974,AL1,D,D,0.691
50,1974,AL1,D,D,0.719
51,1974,AL1,D,D,0.687
52,1974,AL1,D,D,0.731
53,1974,AL1,D,D,0.692
54,1974,AL1,D,D,0.815
55,1974,AL1,D,D,0.743
56,1974,AL1,D,D,0.989
57,1974,AL1,D,D,0.804
58,1974,AL1,D,D,0.847
59,1974,AL1,D,D,0.808
60,1974,AL1,D,D,0.798
61,1974,AL1,D,D,0.772
62,1974,AL1,D,D,0.822
63,1974,AL1,D,D,0.817
64,1974,AL1,D,D,0.764
65,1974,AL1,D,D,0.733
66,1974,AL1,D,D,0.763
67,1974,AL1,D,D,0.859
68,1974,AL1,D,D,0.744
69,1974,AL1,D,D,0.746
70,1974,AL1,D,D,0.812
71,1974,AL1,D,D,0.689
72,1974,AL1,D,D,0.842
73,1974,AL1,D,D,0.748
74,1974,AL1,D,D,0.753
75,1974,AL1,D,D,0.818
76,1974,AL1,D,D,0.732
77,1974,AL1,D,D,0.792
78,1974,AL1,D,D,0.703
79,1974,AL1,D,D,0.727
80,1974,AL1,D,D,0.734
81,1974,AL1,D,D,0.841
82,1974,AL1,D,D,0.776
83,1974,AL1,D,D,0.848
84,1974,AL1,D,D,0.747
85,1974,AL1,D,D,0.847
86,1974,AL1,D,D,0.786
87,1974,AL1,D,D,0.848
88,1974,AL1,D,D,0.772
89,1974,AL1,D,D,0.791
90,1974,AL1,D,D,0.784
91,1974,AL1,D,D,0.715
92,1974,AL1,D,D,0.826
93,1974,AL1,D,D,0.830
94,1974,AL1,D,D,0.739
95,1974,AL1,D,D,0.692
96,1974,AL1,D,D,0.746
97,1974,AL1,D,X,0.673
98,1974,AL1,D,D,0.715
99,1974,AL1,D,D,0.911
100,1974,AL1,D,D,0.837
101,1974,AL1,D,X,0.594
102,1974,AL1,D,D,0.558
103,1974,AL1,D,D,0.711
104,1974,AL1,D,D,0.831
105,1974,AL1,D,D,0.720
1,1978,AL1,D,D,0.694
2,1978,AL1,D,D,0.651
3,1978,AL1,D,D,0.702
4,1978,AL1,D,D,0.730
5,1978,AL1,D,D,0.610
6,1978,AL1,D,D,0.634
7,1978,AL1,D,D,0.679
8,1978,AL1,D,D,0.602
9,1978,AL1,D,D,0.675
10,1978,AL1,D,D,0.577
11,1978,AL1,D,D,0.534
12,1978,AL1,D,D,0.656
13,1978,AL1,D,D,0.749
14,1978,AL1,D,D,0.575
15,1978,AL1,D,D,0.774
16,1978,AL1,D,D,0.735
17,1978,AL1,D,D,0.636
18,1978,AL1,D,D,0.629
19,1978,AL1,D,D,0.703
20,1978,AL1,D,D,0.672
21,1978,AL1,D,D,0.591
22,1978,AL1,D,D,0.638
23,1978,AL1,D,D,0.661
24,1978,AL1,D,D,0.542
25,1978,AL1,D,D,0.591
26,1978,AL1,D,D,0.657
27,1978,AL1,D,D,0.543
28,1978,AL1,D,D,0.750
29,1978,AL1,D,D,0.706
30,1978,AL1,D,D,0.641
31,1978,AL1,R,X,0.338
32,1978,AL1,R,X,0.429
33,1978,AL1,D,D,0.690
