outcome,sen,etype,dno,sab,year,partyt
w,1,g,,AK,1968,d
w,1,g,,AK,1968,r
w,1,g,,AK,1968,d
w,1,g,,AK,1968,d
w,1,g,,AK,1968,r
w,1,g,,AK,1968,r
w,1,g,,AK,1968,r
w,1,g,,AK,1968,d
w,1,g,,AK,1968,r
w,1,g,,AK,1968,d
w,1,g,1.0,AZ,1968,r
w,1,g,2.0,AZ,1968,d
w,1,g,2.0,AZ,1968,d
w,1,g,3.0,AZ,1968,d
w,1,g,3.0,AZ,1968,d
w,1,g,4.0,AZ,1968,d
w,1,g,5.0,AZ,1968,d
w,1,g,5.0,AZ,1968,d
w,1,g,6.0,AZ,1968,d
w,1,g,7.0,AZ,1968,d
w,1,g,7.0,AZ,1968,d
w,1,g,7.0,AZ,1968,d
w,1,g,7.0,AZ,1968,r
w,1,g,7.0,AZ,1968,r
w,1,g,7.0,AZ,1968,r
w,1,g,8.0,AZ,1968,r
w,1,g,8.0,AZ,1968,r
w,1,g,8.0,AZ,1968,r
w,1,g,8.0,AZ,1968,r
w,1,g,8.0,AZ,1968,r
w,1,g,8.0,AZ,1968,r
w,1,g,8.0,AZ,1968,d
w,1,g,8.0,AZ,1968,r
w,1,g,8.0,AZ,1968,r
w,1,g,8.0,AZ,1968,r
w,1,g,8.0,AZ,1968,r
w,1,g,8.0,AZ,1968,r
w,1,g,8.0,AZ,1968,r
w,1,g,8.0,AZ,1968,d
w,1,g,8.0,AZ,1968,r
w,1,g,1.0,AR,1968,r
w,1,g,14.0,AR,1968,d
w,1,g,20.0,AR,1968,d
w,1,g,20.0,AR,1968,d
w,1,g,21.0,AR,1968,d
w,1,g,23.0,AR,1968,d
w,1,g,25.0,AR,1968,d
w,1,g,25.0,AR,1968,d
w,1,g,1.0,CA,1968,d
w,1,g,3.0,CA,1968,d
w,1,g,5.0,CA,1968,d
w,1,g,7.0,CA,1968,d
w,1,g,9.0,CA,1968,r
w,1,g,11.0,CA,1968,d
w,1,g,13.0,CA,1968,d
w,1,g,15.0,CA,1968,r
w,1,g,17.0,CA,1968,r
w,1,g,19.0,CA,1968,r
w,1,g,21.0,CA,1968,r
w,1,g,23.0,CA,1968,r
w,1,g,25.0,CA,1968,r
w,1,g,27.0,CA,1968,d
w,1,g,29.0,CA,1968,d
w,1,g,31.0,CA,1968,d
w,1,g,33.0,CA,1968,d
w,1,g,35.0,CA,1968,r
w,1,g,37.0,CA,1968,r
w,1,g,39.0,CA,1968,r
w,1,g,4.0,CO,1968,d
w,1,g,5.0,CO,1968,d
w,1,g,6.0,CO,1968,d
w,1,g,7.0,CO,1968,r
w,1,g,9.0,CO,1968,r
w,1,g,10.0,CO,1968,r
