district,year,plan,winner,winner_plan,dem_share
1,1974,AL1,D,D,0.718
2,1974,AL1,D,D,0.815
3,1974,AL1,D,D,0.704
4,1974,AL1,D,D,0.612
5,1974,AL1,D,D,0.806
6,1974,AL1,D,D,0.711
7,1974,AL1,D,D,0.719
8,1974,AL1,D,D,0.696
9,1974,AL1,D,D,0.663
10,1974,AL1,D,D,0.657
11,1974,AL1,D,D,0.712
12,1974,AL1,D,D,0.767
13,1974,AL1,D,D,0.702
14,1974,AL1,D,D,0.695
15,1974,AL1,D,D,0.698
16,1974,AL1,D,D,0.815
17,1974,AL1,D,D,0.791
18,1974,AL1,D,D,0.810
19,1974,AL1,D,D,0.817
20,1974,AL1,D,D,0.750
21,1974,AL1,D,D,0.771
22,1974,AL1,D,D,0.771
23,1974,AL1,D,D,0.777
24,1974,AL1,D,D,0.725
25,1974,AL1,D,D,0.844
26,1974,AL1,D,D,0.764
27,1974,AL1,D,D,0.759
28,1974,AL1,D,D,0.774
29,1974,AL1,D,D,0.864
30,1974,AL1,D,D,0.771
31,1974,AL1,D,D,0.777
32,1974,AL1,D,D,0.813
33,1974,AL1,D,D,0.715
34,1974,AL1,D,D,0.815
35,1974,AL1,D,D,0.728
1,1978,AL1,D,D,0.706
2,1978,AL1,D,D,0.740
3,1978,AL1,D,D,0.678
4,1978,AL1,D,D,0.665
5,1978,AL1,D,D,0.711
6,1978,AL1,D,D,0.763
7,1978,AL1,D,D,0.659
8,1978,AL1,D,D,0.674
9,1978,AL1,D,D,0.658
10,1978,AL1,D,D,0.672
11,1978,AL1,D,D,0.706
12,1978,AL1,D,D,0.538
13,1978,AL1,D,D,0.691
14,1978,AL1,D,D,0.623
15,1978,AL1,D,D,0.693
16,1978,AL1,D,D,0.707
17,1978,AL1,D,D,0.672
18,1978,AL1,D,D,0.668
19,1978,AL1,D,D,0.711
20,1978,AL1,D,D,0.669
21,1978,AL1,D,D,0.739
22,1978,AL1,D,D,0.701
23,1978,AL1,D,D,0.717
24,1978,AL1,D,D,0.620
25,1978,AL1,D,D,0.731
26,1978,AL1,D,D,0.776
27,1978,AL1,D,D,0.758
28,1978,AL1,D,D,0.708
29,1978,AL1,D,D,0.772
30,1978,AL1,D,D,0.718
31,1978,AL1,D,D,0.684
32,1978,AL1,D,D,0.665
33,1978,AL1,D,D,0.568
34,1978,AL1,D,D,0.680
35,1978,AL1,D,D,0.622
1,1982,AL2,,D,
2,1982,AL2,,D,
3,1982,AL2,,D,
4,1982,AL2,,R,
5,1982,AL2,,D,
6,1982,AL2,,D,
7,1982,AL2,,D,
8,1982,AL2,,D,
9,1982,AL2,,D,
10,1982,AL2,,D,
11,1982,AL2,,D,
12,1982,AL2,,D,
13,1982,AL2,,D,
14,1982,AL2,,X,
15,1982,AL2,,X,
16,1982,AL2,,R,
17,1982,AL2,,D,
18,1982,AL2,,D,
19,1982,AL2,,D,
20,1982,AL2,,D,
21,1982,AL2,,D,
22,1982,AL2,,D,
23,1982,AL2,,D,
24,1982,AL2,,D,
25,1982,AL2,,R,
26,1982,AL2,,D,
27,1982,AL2,,D,
28,1982,AL2,,D,
29,1982,AL2,,D,
30,1982,AL2,,D,
31,1982,AL2,,D,
32,1982,AL2,,R,
33,1982,AL2,,D,
34,1982,AL2,,R,
35,1982,AL2,,D,
1,1986,AL2,D,D,0.710
2,1986,AL2,D,D,0.622
3,1986,AL2,D,D,0.571
4,1986,AL2,R,R,0.409
5,1986,AL2,D,D,0.684
6,1986,AL2,D,D,0.689
7,1986,AL2,D,D,0.626
8,1986,AL2,D,D,0.636
