district,year,plan,winner,winner_plan,dem_share
1,1972,AL1,R,R,0.189
2,1972,AL1,R,R,0.431
3,1972,AL1,D,D,0.786
4,1972,AL1,D,D,0.699
5,1972,AL1,D,D,0.752
6,1972,AL1,R,R,0.373
7,1972,AL1,D,D,0.650
1,1974,AL1,R,R,0.383
2,1974,AL1,R,R,0.339
3,1974,AL1,D,D,0.713
4,1974,AL1,D,D,0.722
5,1974,AL1,D,D,0.711
6,1974,AL1,R,R,0.420
7,1974,AL1,D,D,0.792
1,1976,AL1,R,R,0.375
2,1976,AL1,R,R,0.424
3,1976,AL1,D,D,0.714
4,1976,AL1,D,D,0.804
5,1976,AL1,D,D,0.668
6,1976,AL1,R,R,0.430
7,1976,AL1,D,D,0.893
1,1978,AL1,R,R,0.361
2,1978,AL1,R,R,0.460
3,1978,AL1,D,D,0.704
4,1978,AL1,D,D,0.769
5,1978,AL1,D,D,0.720
6,1978,AL1,R,R,0.383
7,1978,AL1,D,D,0.977
1,1980,AL1,R,R,0.310
2,1980,AL1,R,R,0.377
3,1980,AL1,D,D,
4,1980,AL1,D,D,0.702
5,1980,AL1,D,D,0.688
6,1980,AL1,R,R,0.480
7,1980,AL1,D,D,0.739
1,1982,AL2,R,R,0.382
2,1982,AL2,R,R,0.496
3,1982,AL2,D,D,0.727
4,1982,AL2,D,D,0.726
5,1982,AL2,D,D,0.816
6,1982,AL2,D,D,0.534
7,1982,AL2,D,D,0.968
1,1984,AL2,R,R,0.490
2,1984,AL2,R,R,0.390
3,1984,AL2,D,D,0.696
4,1984,AL2,D,D,
5,1984,AL2,D,D,0.719
6,1984,AL2,D,D,0.599
7,1984,AL2,D,D,0.754
1,1986,AL2,R,R,
2,1986,AL2,R,R,0.333
3,1986,AL2,D,D,0.806
4,1986,AL2,D,D,0.775
5,1986,AL2,D,D,0.789
6,1986,AL2,D,D,0.729
7,1986,AL2,D,D,0.598
1,1988,AL2,R,R,0.403
2,1988,AL2,R,R,0.332
3,1988,AL2,D,D,0.734
4,1988,AL2,D,D,0.703
5,1988,AL2,D,D,0.651
6,1988,AL2,D,D,0.669
7,1988,AL2,D,D,0.682
1,1990,AL2,R,R,0.425
2,1990,AL2,R,R,0.487
3,1990,AL2,D,D,0.737
4,1990,AL2,D,D,0.672
5,1990,AL2,D,D,0.671
6,1990,AL2,D,D,0.651
7,1990,AL2,D,D,0.705
1,1992,AL3,R,R,0.379
2,1992,AL3,R,R,0.492
3,1992,AL3,D,X,0.618
4,1992,AL3,D,X,0.702
5,1992,AL3,D,D,0.672
6,1992,AL3,R,R,0.462
7,1992,AL3,D,D,0.800
1,1994,AL3,R,R,0.327
2,1994,AL3,R,R,0.264
3,1994,AL3,D,X,0.636
4,1994,AL3,D,X,0.577
5,1994,AL3,D,D,0.505
6,1994,AL3,R,R,0.209
7,1994,AL3,D,D,0.769
1,1996,AL3,R,R,0.344
2,1996,AL3,R,R,0.359
3,1996,AL3,R,X,0.484
4,1996,AL3,R,X,0.491
5,1996,AL3,D,D,0.569
6,1996,AL3,R,R,0.278
7,1996,AL3,D,D,0.724
1,1998,AL3,R,R,0.314
2,1998,AL3,R,R,0.307
3,1998,AL3,R,X,0.419
4,1998,AL3,R,X,0.436
5,1998,AL3,D,D,0.697
6,1998,AL3,R,R,0.282
7,1998,AL3,D,D,0.758
1,2000,AL3,R,R,0.308
2,2000,AL3,R,R,0.300
3,2000,AL3,R,X,0.379
4,2000,AL3,R,X,0.382
5,2000,AL3,D,D,0.652
6,2000,AL3,R,R,0.253
7,2000,AL3,D,D,0.763
1,2002,AL4,R,R,0.384
2,2002,AL4,R,X,0.300
3,2002,AL4,R,R,0.489
4,2002,AL4,R,R,0.317
5,2002,AL4,D,X,0.748
6,2002,AL4,R,R,0.236
7,2002,AL4,D,D,0.618
1,2004,AL4,R,R,0.368
2,2004,AL4,R,X,0.285
